Time,pH,mCa,mTIC,mCO3,rdiss,Omega
129,8.02476,1.12463e-05,0.264676,0.00128008,0,4.3476
130.5,8.01862,1.12227e-05,0.270181,0.00128807,0,4.36552
132,8.01245,1.11991e-05,0.27573,0.00129568,0,4.38209
133.5,8.00626,1.11756e-05,0.28132,0.00130293,0,4.39735
135,8.00004,1.11521e-05,0.286953,0.00130981,0,4.41129
136.5,7.99381,1.11287e-05,0.292627,0.00131634,0,4.42396
138,7.98755,1.11053e-05,0.298343,0.00132251,0,4.43537
139.5,7.98127,1.1082e-05,0.304099,0.00132834,0,4.44554
141,7.97498,1.10587e-05,0.309896,0.00133381,0,4.45449
142.5,7.96866,1.10355e-05,0.315733,0.00133895,0,4.46226
144,7.96233,1.10123e-05,0.32161,0.00134375,0,4.46886
145.5,7.95598,1.09892e-05,0.327526,0.00134822,0,4.47432
147,7.94962,1.09662e-05,0.333481,0.00135237,0,4.47868
148.5,7.94324,1.09432e-05,0.339475,0.0013562,0,4.48194
150,7.93686,1.09202e-05,0.345507,0.00135972,0,4.48416
151.5,7.93045,1.08974e-05,0.351577,0.00136293,0,4.48534
153,7.92404,1.08745e-05,0.357685,0.00136585,0,4.48552
154.5,7.91762,1.08518e-05,0.36383,0.00136847,0,4.48474
156,7.9112,1.08291e-05,0.370012,0.00137081,0,4.48301
157.5,7.90476,1.08064e-05,0.37623,0.00137288,0,4.48038
159,7.89832,1.07838e-05,0.382484,0.00137468,0,4.47686
160.5,7.89188,1.07613e-05,0.388774,0.00137621,0,4.4725
162,7.88543,1.07388e-05,0.3951,0.00137749,0,4.46731
163.5,7.87899,1.07164e-05,0.40146,0.00137853,0,4.46134
165,7.87254,1.06941e-05,0.407856,0.00137932,0,4.4546
166.5,7.86609,1.06718e-05,0.414286,0.00137989,0,4.44714
168,7.85965,1.06495e-05,0.420749,0.00138023,0,4.43897
169.5,7.8532,1.06273e-05,0.427247,0.00138036,0,4.43014
171,7.84677,1.06052e-05,0.433778,0.00138028,0,4.42067
172.5,7.84034,1.05831e-05,0.440342,0.00138001,0,4.41058
174,7.83391,1.05611e-05,0.446939,0.00137954,0,4.39991
175.5,7.8275,1.05392e-05,0.453569,0.00137888,0,4.38869
177,7.8211,1.05173e-05,0.46023,0.00137805,0,4.37694
178.5,7.8147,1.04955e-05,0.466923,0.00137706,0,4.36469
180,7.80832,1.04737e-05,0.473648,0.0013759,0,4.35197
181.5,7.80195,1.0452e-05,0.480404,0.00137458,0,4.33881
183,7.7956,1.04303e-05,0.48719,0.00137312,0,4.32522
184.5,7.78926,1.04087e-05,0.494007,0.00137153,0,4.31124
186,7.78294,1.03872e-05,0.500854,0.00136979,0,4.29689
187.5,7.77664,1.03657e-05,0.507731,0.00136794,0,4.2822
189,7.77036,1.03443e-05,0.514638,0.00136596,0,4.26718
190.5,7.76409,1.0323e-05,0.521574,0.00136388,0,4.25187
192,7.75785,1.03017e-05,0.528539,0.00136168,0,4.23628
193.5,7.75163,1.02804e-05,0.535532,0.00135939,0,4.22043
195,7.74543,1.02593e-05,0.542554,0.001357,0,4.20434
196.5,7.73926,1.02382e-05,0.549604,0.00135453,0,4.18804
198,7.73311,1.02171e-05,0.556681,0.00135198,0,4.17154
199.5,7.72699,1.01961e-05,0.563786,0.00134934,0,4.15487
201,7.72089,1.01752e-05,0.570918,0.00134664,0,4.13803
202.5,7.71482,1.01543e-05,0.578077,0.00134387,0,4.12105
204,7.70878,1.01335e-05,0.585262,0.00134104,0,4.10395
205.5,7.70277,1.01127e-05,0.592474,0.00133816,0,4.08673
207,7.69678,1.0092e-05,0.599711,0.00133522,0,4.06942
208.5,7.69083,1.00714e-05,0.606975,0.00133224,0,4.05202
210,7.6849,1.00508e-05,0.614263,0.00132921,0,4.03456
211.5,7.67901,1.00303e-05,0.621577,0.00132615,0,4.01704
213,7.67315,1.00098e-05,0.628915,0.00132305,0,3.99948
214.5,7.66732,9.98944e-06,0.636278,0.00131992,0,3.98189
216,7.66153,9.9691e-06,0.643666,0.00131676,0,3.96427
217.5,7.65576,9.94881e-06,0.651077,0.00131358,0,3.94665
219,7.65003,9.92859e-06,0.658512,0.00131038,0,3.92903
220.5,7.64434,9.90843e-06,0.66597,0.00130716,0,3.91142
222,7.63867,9.88833e-06,0.673452,0.00130393,0,3.89382
223.5,7.63304,9.86828e-06,0.680956,0.00130068,0,3.87625
225,7.62745,9.84829e-06,0.688483,0.00129743,0,3.85872
226.5,7.62189,9.82837e-06,0.696032,0.00129416,0,3.84123
228,7.61637,9.8085e-06,0.703604,0.0012909,0,3.82379
229.5,7.61088,9.78869e-06,0.711197,0.00128763,0,3.80641
231,7.60543,9.76894e-06,0.718812,0.00128436,0,3.78908
232.5,7.60001,9.74925e-06,0.726448,0.00128109,0,3.77182
234,7.59463,9.72961e-06,0.734105,0.00127783,0,3.75464
235.5,7.58928,9.71004e-06,0.741782,0.00127457,0,3.73753
237,7.58397,9.69052e-06,0.749481,0.00127132,0,3.7205
238.5,7.5787,9.67106e-06,0.757199,0.00126808,0,3.70356
240,7.57346,9.65166e-06,0.764938,0.00126484,0,3.68671
241.5,7.56826,9.63232e-06,0.772696,0.00126162,0,3.66995
243,7.56309,9.61304e-06,0.780474,0.00125841,0,3.65329
244.5,7.55796,9.59381e-06,0.788271,0.00125522,0,3.63673
246,7.55286,9.57464e-06,0.796087,0.00125204,0,3.62027
247.5,7.5478,9.55553e-06,0.803922,0.00124887,0,3.60391
249,7.54278,9.53648e-06,0.811775,0.00124573,0,3.58765
250.5,7.53779,9.51748e-06,0.819647,0.00124259,0,3.57151
252,7.53284,9.49854e-06,0.827536,0.00123948,0,3.55548
253.5,7.52792,9.47966e-06,0.835444,0.00123639,0,3.53955
255,7.52304,9.46084e-06,0.843369,0.00123331,0,3.52374
256.5,7.51819,9.44207e-06,0.851311,0.00123026,0,3.50804
258,7.51338,9.42336e-06,0.85927,0.00122723,0,3.49246
259.5,7.5086,9.40471e-06,0.867246,0.00122422,0,3.47699
261,7.50386,9.38611e-06,0.875239,0.00122122,0,3.46164
262.5,7.49915,9.36757e-06,0.883248,0.00121826,0,3.4464
264,7.49448,9.34909e-06,0.891273,0.00121531,0,3.43128
265.5,7.48984,9.33066e-06,0.899314,0.00121238,0,3.41628
267,7.48523,9.31229e-06,0.907371,0.00120948,0,3.40139
268.5,7.48066,9.29398e-06,0.915444,0.0012066,0,3.38662
270,7.47612,9.27572e-06,0.923531,0.00120375,0,3.37197
271.5,7.47161,9.25752e-06,0.931634,0.00120092,0,3.35743
273,7.46714,9.23937e-06,0.939751,0.00119811,0,3.34301
274.5,7.4627,9.22128e-06,0.947883,0.00119532,0,3.32871
276,7.45829,9.20325e-06,0.956029,0.00119256,0,3.31452
277.5,7.45391,9.18527e-06,0.96419,0.00118982,0,3.30045
279,7.44957,9.16734e-06,0.972364,0.0011871,0,3.28649
280.5,7.44525,9.14947e-06,0.980552,0.00118441,0,3.27264
282,7.44097,9.13166e-06,0.988754,0.00118174,0,3.25891
283.5,7.43672,9.1139e-06,0.996969,0.0011791,0,3.24529
285,7.4325,9.09619e-06,1.0052,0.00117648,0,3.23179
286.5,7.42831,9.07854e-06,1.01344,0.00117388,0,3.21839
288,7.42415,9.06095e-06,1.02169,0.0011713,0,3.20511
289.5,7.42003,9.04341e-06,1.02996,0.00116875,0,3.19193
291,7.41593,9.02592e-06,1.03824,0.00116622,0,3.17886
292.5,7.41186,9.00849e-06,1.04653,0.00116371,0,3.16591
294,7.40782,8.99111e-06,1.05483,0.00116123,0,3.15305
295.5,7.40381,8.97378e-06,1.06314,0.00115877,0,3.1403
297,7.39983,8.95651e-06,1.07147,0.00115633,0,3.12766
298.5,7.39587,8.93929e-06,1.0798,0.00115391,0,3.11512
300,7.39195,8.92213e-06,1.08815,0.00115151,0,3.10269
301.5,7.38805,8.90502e-06,1.09651,0.00114914,0,3.09035
303,7.38418,8.88796e-06,1.10488,0.00114679,0,3.07812
304.5,7.38034,8.87096e-06,1.11326,0.00114446,0,3.06598
306,7.37653,8.85401e-06,1.12165,0.00114215,0,3.05395
307.5,7.37274,8.83711e-06,1.13005,0.00113986,0,3.04201
309,7.36898,8.82026e-06,1.13846,0.00113759,0,3.03017
310.5,7.36525,8.80347e-06,1.14687,0.00113534,0,3.01842
312,7.36154,8.78673e-06,1.1553,0.00113311,0,3.00677
313.5,7.35786,8.77004e-06,1.16374,0.0011309,0,2.99521
315,7.3542,8.7534e-06,1.17219,0.00112871,0,2.98374
316.5,7.35057,8.73681e-06,1.18064,0.00112655,0,2.97237
318,7.34696,8.72028e-06,1.18911,0.0011244,0,2.96108
319.5,7.34338,8.7038e-06,1.19758,0.00112227,0,2.94988
321,7.33982,8.68737e-06,1.20607,0.00112015,0,2.93878
322.5,7.33629,8.67099e-06,1.21456,0.00111806,0,2.92775
324,7.33279,8.65466e-06,1.22305,0.00111599,0,2.91682
325.5,7.3293,8.63839e-06,1.23156,0.00111393,0,2.90597
327,7.32584,8.62216e-06,1.24007,0.00111189,0,2.8952
328.5,7.32241,8.60599e-06,1.24859,0.00110987,0,2.88452
330,7.31899,8.58987e-06,1.25712,0.00110787,0,2.87392
