Time,pH,mCa,mTIC,mCO3,rdiss,Omega
102,9.37398,3.9536e-05,5.54748e-05,5.53383e-06,6.07404e-07,0.0660721
103.5,9.38069,4.00293e-05,5.60236e-05,5.66687e-06,6.05817e-07,0.0685048
105,9.38725,4.05203e-05,5.65707e-05,5.80046e-06,6.04202e-07,0.0709799
106.5,9.39367,4.1009e-05,5.7116e-05,5.93457e-06,6.0256e-07,0.0734969
108,9.39995,4.14954e-05,5.76596e-05,6.06919e-06,6.00891e-07,0.0760555
109.5,9.40609,4.19795e-05,5.82014e-05,6.20427e-06,5.99196e-07,0.0786552
111,9.41211,4.24611e-05,5.87414e-05,6.3398e-06,5.97474e-07,0.0812956
112.5,9.418,4.29404e-05,5.92796e-05,6.47575e-06,5.95727e-07,0.0839761
114,9.42376,4.34172e-05,5.98159e-05,6.61209e-06,5.93954e-07,0.0866963
115.5,9.42941,4.38916e-05,6.03503e-05,6.7488e-06,5.92155e-07,0.0894557
117,9.43495,4.43635e-05,6.08828e-05,6.88586e-06,5.90332e-07,0.0922537
118.5,9.44037,4.48329e-05,6.14133e-05,7.02323e-06,5.88484e-07,0.0950898
120,9.44569,4.52998e-05,6.19419e-05,7.16089e-06,5.86611e-07,0.0979634
121.5,9.4509,4.57642e-05,6.24684e-05,7.29883e-06,5.84715e-07,0.100874
123,9.45601,4.6226e-05,6.29929e-05,7.437e-06,5.82796e-07,0.103821
124.5,9.46102,4.66853e-05,6.35154e-05,7.5754e-06,5.80853e-07,0.106804
126,9.46594,4.7142e-05,6.40358e-05,7.714e-06,5.78887e-07,0.109822
127.5,9.47076,4.7596e-05,6.45542e-05,7.85276e-06,5.76899e-07,0.112874
129,9.47549,4.80475e-05,6.50704e-05,7.99168e-06,5.74889e-07,0.11596
130.5,9.48014,4.84963e-05,6.55844e-05,8.13073e-06,5.72858e-07,0.11908
132,9.48469,4.89424e-05,6.60963e-05,8.26988e-06,5.70805e-07,0.122232
133.5,9.48917,4.93859e-05,6.6606e-05,8.40911e-06,5.68732e-07,0.125416
135,9.49356,4.98267e-05,6.71135e-05,8.5484e-06,5.66639e-07,0.128631
136.5,9.49787,5.02647e-05,6.76188e-05,8.68773e-06,5.64525e-07,0.131877
138,9.50211,5.07001e-05,6.81218e-05,8.82707e-06,5.62393e-07,0.135153
139.5,9.50627,5.11327e-05,6.86226e-05,8.96642e-06,5.60241e-07,0.138458
141,9.51035,5.15625e-05,6.91211e-05,9.10573e-06,5.58072e-07,0.141791
142.5,9.51437,5.19896e-05,6.96173e-05,9.245e-06,5.55884e-07,0.145152
144,9.51831,5.24139e-05,7.01112e-05,9.38421e-06,5.53679e-07,0.14854
145.5,9.52219,5.28354e-05,7.06027e-05,9.52333e-06,5.51456e-07,0.151955
147,9.526,5.32541e-05,7.10919e-05,9.66234e-06,5.49218e-07,0.155394
148.5,9.52974,5.367e-05,7.15787e-05,9.80123e-06,5.46963e-07,0.158859
150,9.53342,5.4083e-05,7.20631e-05,9.93997e-06,5.44692e-07,0.162348
151.5,9.53703,5.44933e-05,7.25452e-05,1.00786e-05,5.42407e-07,0.16586
153,9.54059,5.49006e-05,7.30248e-05,1.0217e-05,5.40107e-07,0.169394
154.5,9.54408,5.53052e-05,7.3502e-05,1.03552e-05,5.37792e-07,0.172951
156,9.54752,5.57068e-05,7.39767e-05,1.04931e-05,5.35464e-07,0.176528
157.5,9.5509,5.61056e-05,7.44491e-05,1.06309e-05,5.33123e-07,0.180126
159,9.55422,5.65015e-05,7.49189e-05,1.07684e-05,5.3077e-07,0.183743
160.5,9.55749,5.68945e-05,7.53863e-05,1.09056e-05,5.28404e-07,0.187379
162,9.56071,5.72846e-05,7.58512e-05,1.10426e-05,5.26027e-07,0.191033
163.5,9.56387,5.76718e-05,7.63136e-05,1.11792e-05,5.23638e-07,0.194704
165,9.56698,5.80561e-05,7.67734e-05,1.13155e-05,5.21239e-07,0.198392
166.5,9.57004,5.84375e-05,7.72308e-05,1.14515e-05,5.18829e-07,0.202095
168,9.57305,5.8816e-05,7.76857e-05,1.15872e-05,5.1641e-07,0.205813
169.5,9.57601,5.91915e-05,7.8138e-05,1.17225e-05,5.13982e-07,0.209546
