Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.19054,1.10144e-06,1.60513e-05,4.76237e-10,1.22391e-06,1.5841e-07
3,6.33684,2.05372e-06,1.88857e-05,9.44657e-10,1.05978e-06,5.8589e-07
4.5,6.45924,2.91453e-06,2.24331e-05,1.69977e-09,9.59131e-07,1.49609e-06
6,6.56799,3.71293e-06,2.67429e-05,2.8829e-09,8.90653e-07,3.23255e-06
7.5,6.66893,4.46569e-06,3.18434e-05,4.69932e-09,8.40741e-07,6.33758e-06
9,6.76591,5.18339e-06,3.77481e-05,7.44884e-09,8.02566e-07,1.16601e-05
10.5,6.86181,5.87321e-06,4.44622e-05,1.15796e-08,7.72327e-07,2.05386e-05
12,6.95919,6.54024e-06,5.19862e-05,1.77846e-08,7.47742e-07,3.51267e-05
13.5,7.0606,7.18827e-06,6.03184e-05,2.71812e-08,7.27365e-07,5.90056e-05
15,7.16892,7.82025e-06,6.94558e-05,4.16627e-08,7.10252e-07,9.83939e-05
16.5,7.28755,8.43856e-06,7.93945e-05,6.46138e-08,6.95788e-07,0.000164662
18,7.42046,9.04525e-06,9.01303e-05,1.02386e-07,6.8361e-07,0.00027968
19.5,7.57092,9.64225e-06,0.000101659,1.67064e-07,6.73576e-07,0.000486477
21,7.73732,1.02315e-05,0.000113976,2.796e-07,6.6572e-07,0.000863929
22.5,7.90718,1.08149e-05,0.000127077,4.66359e-07,6.60014e-07,0.00152316
24,8.06224,1.1394e-05,0.000140958,7.44124e-07,6.56028e-07,0.00256049
25.5,8.19314,1.19697e-05,0.000155612,1.11389e-06,6.53065e-07,0.00402647
27,8.301,1.25422e-05,0.000171035,1.57117e-06,6.50556e-07,0.0059511
28.5,8.39047,1.31116e-05,0.00018722,2.11317e-06,6.48153e-07,0.00836742
30,8.46588,1.36778e-05,0.000204161,2.73943e-06,6.45655e-07,0.0113156
31.5,8.53054,1.42405e-05,0.000221852,3.45087e-06,6.42938e-07,0.0148407
33,8.58684,1.47993e-05,0.000240286,4.24908e-06,6.39917e-07,0.0189906
34.5,8.63648,1.53539e-05,0.000259457,5.13588e-06,6.36527e-07,0.0238141
36,8.68074,1.59037e-05,0.000279359,6.11307e-06,6.32718e-07,0.0293602
37.5,8.72054,1.64484e-05,0.000299984,7.1823e-06,6.28443e-07,0.0356769
39,8.75661,1.69873e-05,0.000321327,8.345e-06,6.23665e-07,0.0428105
40.5,8.7895,1.75199e-05,0.000343382,9.60233e-06,6.18348e-07,0.0508052
42,8.81964,1.80457e-05,0.000366141,1.09552e-05,6.12461e-07,0.0597024
43.5,8.84738,1.8564e-05,0.000389599,1.2404e-05,6.05976e-07,0.06954
45,8.87301,1.90743e-05,0.000413749,1.39491e-05,5.98868e-07,0.0803518
46.5,8.89676,1.9576e-05,0.000438584,1.55902e-05,5.91116e-07,0.0921673
