Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,6,0,1.38772e-05,2.00234e-10,1.54e-06,0
1.5,6.57321,3.75168e-06,1.76193e-05,1.93102e-09,8.87782e-07,2.18783e-06
3,6.96891,6.6045e-06,2.0452e-05,7.18634e-09,7.45595e-07,1.43334e-05
4.5,7.43574,9.10978e-06,2.29288e-05,2.70516e-08,6.82582e-07,7.4422e-05
6,8.07403,1.14418e-05,2.52253e-05,1.36881e-07,6.57194e-07,0.000472975
7.5,8.46924,1.37052e-05,2.74468e-05,3.71123e-07,6.52018e-07,0.00153604
9,8.68256,1.59276e-05,2.96217e-05,6.50879e-07,6.49808e-07,0.00313078
10.5,8.82336,1.81133e-05,3.17546e-05,9.58077e-07,6.47923e-07,0.00524079
12,8.92721,2.02629e-05,3.3847e-05,1.28746e-06,6.45923e-07,0.00787836
13.5,9.00886,2.23767e-05,3.58995e-05,1.63582e-06,6.43677e-07,0.0110543
15,9.07574,2.44544e-05,3.79127e-05,2.00061e-06,6.41133e-07,0.0147747
16.5,9.1321,2.64958e-05,3.98867e-05,2.37957e-06,6.38268e-07,0.0190404
18,9.1806,2.85005e-05,4.18218e-05,2.77071e-06,6.35072e-07,0.0238475
19.5,9.22299,3.04681e-05,4.37184e-05,3.17218e-06,6.31545e-07,0.0291879
21,9.26051,3.23981e-05,4.55767e-05,3.58232e-06,6.27689e-07,0.0350497
22.5,9.29404,3.42903e-05,4.73971e-05,3.99957e-06,6.23512e-07,0.0414175
24,9.32427,3.61442e-05,4.91799e-05,4.42251e-06,6.19024e-07,0.0482733
25.5,9.35169,3.79594e-05,5.09256e-05,4.84984e-06,6.14236e-07,0.0555965
27,9.37671,3.97358e-05,5.26348e-05,5.28038e-06,6.09163e-07,0.0633647
28.5,9.39966,4.1473e-05,5.4308e-05,5.71302e-06,6.03819e-07,0.0715537
30,9.4208,4.31709e-05,5.5946e-05,6.14679e-06,5.98221e-07,0.0801383
31.5,9.44033,4.48292e-05,5.75495e-05,6.5808e-06,5.92384e-07,0.0890922
33,9.45844,4.64479e-05,5.91195e-05,7.01424e-06,5.86326e-07,0.098389
34.5,9.47528,4.80269e-05,6.06568e-05,7.4464e-06,5.80065e-07,0.108002
36,9.49097,4.95662e-05,6.21626e-05,7.87665e-06,5.73616e-07,0.117904
37.5,9.50563,5.10657e-05,6.36381e-05,8.30446e-06,5.66998e-07,0.128068
39,9.51935,5.25257e-05,6.50844e-05,8.72935e-06,5.60227e-07,0.13847
40.5,9.5322,5.39463e-05,6.65029e-05,9.15093e-06,5.53319e-07,0.149083
42,9.54428,5.53275e-05,6.78951e-05,9.56887e-06,5.4629e-07,0.159883
43.5,9.55563,5.66696e-05,6.92625e-05,9.98293e-06,5.39154e-07,0.170847
45,9.56631,5.79729e-05,7.06066e-05,1.03929e-05,5.31927e-07,0.181954
46.5,9.57637,5.92377e-05,7.19293e-05,1.07987e-05,5.24622e-07,0.193183
48,9.58586,6.04642e-05,7.32322e-05,1.12002e-05,5.1725e-07,0.204514
49.5,9.59482,6.16528e-05,7.45172e-05,1.15974e-05,5.09823e-07,0.21593
51,9.60328,6.28038e-05,7.57862e-05,1.19903e-05,5.02353e-07,0.227414
52.5,9.61128,6.39177e-05,7.70412e-05,1.23791e-05,4.94848e-07,0.238951
54,9.61884,6.49949e-05,7.82842e-05,1.27638e-05,4.87317e-07,0.250529
55.5,9.62599,6.60357e-05,7.95175e-05,1.31446e-05,4.79767e-07,0.262136
57,9.63275,6.70405e-05,8.0743e-05,1.35218e-05,4.72206e-07,0.273761
58.5,9.63916,6.80099e-05,8.19632e-05,1.38955e-05,4.64639e-07,0.285395
60,9.64522,6.89443e-05,8.31802e-05,1.42661e-05,4.57071e-07,0.297032
61.5,9.65095,6.9844e-05,8.43964e-05,1.46338e-05,4.49505e-07,0.308665
63,9.65638,7.07095e-05,8.56142e-05,1.49991e-05,4.41945e-07,0.320289
64.5,9.66152,7.15413e-05,8.6836e-05,1.53622e-05,4.34394e-07,0.331902
66,9.66638,7.23398e-05,8.80643e-05,1.57235e-05,4.26851e-07,0.3435
67.5,9.67097,7.31053e-05,8.93015e-05,1.60835e-05,4.19319e-07,0.355083
69,9.67531,7.38384e-05,9.05502e-05,1.64425e-05,4.11797e-07,0.366649
70.5,9.67941,7.45393e-05,9.1813e-05,1.68011e-05,4.04285e-07,0.378201
72,9.68328,7.52085e-05,9.30925e-05,1.71596e-05,3.96782e-07,0.38974
73.5,9.68693,7.58464e-05,9.43914e-05,1.75185e-05,3.89286e-07,0.401267
75,9.69036,7.64533e-05,9.57122e-05,1.78784e-05,3.81796e-07,0.412785
76.5,9.69359,7.70295e-05,9.70578e-05,1.82396e-05,3.74309e-07,0.424299
78,9.69662,7.75755e-05,9.84308e-05,1.86027e-05,3.66823e-07,0.435812
79.5,9.69945,7.80914e-05,9.98341e-05,1.89681e-05,3.59334e-07,0.447329
81,9.70211,7.85777e-05,0.00010127,1.93364e-05,3.51841e-07,0.458854
82.5,9.70458,7.90345e-05,0.000102742,1.9708e-05,3.44338e-07,0.470392
84,9.70688,7.94622e-05,0.000104253,2.00835e-05,3.36824e-07,0.481949
85.5,9.70901,7.9861e-05,0.000105805,2.04634e-05,3.29294e-07,0.493529
87,9.71097,8.02312e-05,0.000107402,2.08481e-05,3.21746e-07,0.505138
88.5,9.71278,8.0573e-05,0.000109045,2.12382e-05,3.14175e-07,0.516782
90,9.71442,8.08867e-05,0.00011074,2.16341e-05,3.06578e-07,0.528466
91.5,9.71592,8.11727e-05,0.000112487,2.20365e-05,2.98951e-07,0.540197
93,9.71726,8.14311e-05,0.000114291,2.24457e-05,2.91289e-07,0.55198
94.5,9.71846,8.16623e-05,0.000116155,2.28623e-05,2.8359e-07,0.563822
96,9.71952,8.18665e-05,0.000118081,2.32868e-05,2.7585e-07,0.575726
97.5,9.72043,8.20438e-05,0.000120073,2.37196e-05,2.68067e-07,0.587697
99,9.7212,8.21945e-05,0.000122133,2.41612e-05,2.60238e-07,0.599738
100.5,9.72184,8.23188e-05,0.000124265,2.4612e-05,2.52362e-07,0.611851
102,9.72234,8.24167e-05,0.000126473,2.50724e-05,2.44438e-07,0.624039
103.5,9.72271,8.24886e-05,0.000128758,2.55428e-05,2.36465e-07,0.636301
105,9.72294,8.25345e-05,0.000131125,2.60236e-05,2.28443e-07,0.64864
106.5,9.72305,8.25546e-05,0.000133577,2.65152e-05,2.20373e-07,0.661052
108,9.72302,8.25491e-05,0.000136116,2.70178e-05,2.12255e-07,0.673538
109.5,9.72286,8.25181e-05,0.000138746,2.75318e-05,2.04092e-07,0.686094
111,9.72257,8.24617e-05,0.00014147,2.80574e-05,1.95885e-07,0.698716
112.5,9.72215,8.23802e-05,0.000144292,2.85951e-05,1.87639e-07,0.7114
114,9.72161,8.22736e-05,0.000147215,2.91449e-05,1.79356e-07,0.72414
115.5,9.72093,8.21422e-05,0.000150241,2.9707e-05,1.7104e-07,0.73693
117,9.72013,8.19862e-05,0.000153376,3.02818e-05,1.62697e-07,0.749762
118.5,9.7192,8.18058e-05,0.000156621,3.08694e-05,1.54332e-07,0.762627
120,9.71814,8.16011e-05,0.00015998,3.14699e-05,1.45952e-07,0.775517
121.5,9.71696,8.13725e-05,0.000163457,3.20834e-05,1.37562e-07,0.788421
123,9.71564,8.11203e-05,0.000167056,3.271e-05,1.29171e-07,0.801327
124.5,9.7142,8.08446e-05,0.000170779,3.33498e-05,1.20786e-07,0.814225
126,9.71263,8.05458e-05,0.000174631,3.40028e-05,1.12415e-07,0.8271
127.5,9.71094,8.02242e-05,0.000178614,3.46691e-05,1.04067e-07,0.839939
129,9.70911,7.98803e-05,0.000182733,3.53485e-05,9.57515e-08,0.852729
130.5,9.70716,7.95144e-05,0.000186991,3.60412e-05,8.74777e-08,0.865455
132,9.70508,7.91268e-05,0.000191392,3.67469e-05,7.92556e-08,0.878101
133.5,9.70287,7.87182e-05,0.00019594,3.74656e-05,7.10954e-08,0.890652
135,9.70053,7.82889e-05,0.000200637,3.81972e-05,6.30076e-08,0.903092
136.5,9.69807,7.78394e-05,0.000205489,3.89415e-05,5.50026e-08,0.915404
138,9.69548,7.73704e-05,0.000210499,3.96984e-05,4.70913e-08,0.927572
139.5,9.69276,7.68823e-05,0.00021567,4.04676e-05,3.92842e-08,0.93958
141,9.68992,7.63758e-05,0.000221007,4.12488e-05,3.15922e-08,0.95141
142.5,9.68696,7.58515e-05,0.000226514,4.2042e-05,2.4026e-08,0.963047
144,9.68386,7.531e-05,0.000232193,4.28467e-05,1.6596e-08,0.974475
145.5,9.68065,7.47521e-05,0.00023805,4.36627e-05,9.31247e-09,0.985677
147,9.67731,7.41785e-05,0.000244088,4.44897e-05,2.18494e-09,0.99664
148.5,9.6739,7.3599e-05,0.000250321,4.53336e-05,0,1.00761
150,9.67052,7.30305e-05,0.000256768,4.62057e-05,0,1.01906
151.5,9.66718,7.24726e-05,0.000263432,4.7106e-05,0,1.03098
153,9.66386,7.19251e-05,0.000270315,4.80344e-05,0,1.04336
154.5,9.66057,7.13875e-05,0.000277422,4.89909e-05,0,1.05618
156,9.65732,7.08597e-05,0.000284753,4.99755e-05,0,1.06944
157.5,9.65408,7.03414e-05,0.000292313,5.09882e-05,0,1.08313
159,9.65088,6.98322e-05,0.000300105,5.20289e-05,0,1.09724
160.5,9.6477,6.9332e-05,0.00030813,5.30977e-05,0,1.11176
162,9.64455,6.88404e-05,0.000316391,5.41945e-05,0,1.12667
163.5,9.64142,6.83572e-05,0.000324893,5.53192e-05,0,1.14199
165,9.63832,6.78823e-05,0.000333636,5.6472e-05,0,1.15768
166.5,9.63524,6.74152e-05,0.000342625,5.76527e-05,0,1.17376
168,9.63219,6.6956e-05,0.000351862,5.88614e-05,0,1.1902
169.5,9.62916,6.65042e-05,0.00036135,6.00979e-05,0,1.207
171,9.62615,6.60598e-05,0.000371091,6.13623e-05,0,1.22416
172.5,9.62317,6.56225e-05,0.000381088,6.26546e-05,0,1.24167
174,9.6202,6.51921e-05,0.000391345,6.39747e-05,0,1.25952
175.5,9.61726,6.47685e-05,0.000401863,6.53225e-05,0,1.27769
177,9.61434,6.43514e-05,0.000412645,6.66981e-05,0,1.2962
178.5,9.61144,6.39407e-05,0.000423695,6.81013e-05,0,1.31502
180,9.60856,6.35363e-05,0.000435015,6.95322e-05,0,1.33416
181.5,9.6057,6.31379e-05,0.000446608,7.09907e-05,0,1.3536
183,9.60286,6.27454e-05,0.000458475,7.24767e-05,0,1.37335
184.5,9.60003,6.23586e-05,0.000470621,7.39902e-05,0,1.39338
186,9.59723,6.19775e-05,0.000483047,7.55311e-05,0,1.41371
187.5,9.59444,6.16018e-05,0.000495756,7.70993e-05,0,1.43431
189,9.59167,6.12314e-05,0.000508751,7.86949e-05,0,1.45519
190.5,9.58892,6.08663e-05,0.000522034,8.03176e-05,0,1.47634
192,9.58618,6.05061e-05,0.000535608,8.19674e-05,0,1.49775
193.5,9.58346,6.01509e-05,0.000549475,8.36442e-05,0,1.51942
195,9.58076,5.98005e-05,0.000563638,8.5348e-05,0,1.54134
196.5,9.57807,5.94548e-05,0.000578099,8.70786e-05,0,1.5635
198,9.5754,5.91136e-05,0.000592861,8.8836e-05,0,1.5859
199.5,9.57274,5.87769e-05,0.000607925,9.062e-05,0,1.60854
201,9.57009,5.84446e-05,0.000623296,9.24305e-05,0,1.6314
202.5,9.56746,5.81165e-05,0.000638973,9.42674e-05,0,1.65448
204,9.56485,5.77925e-05,0.000654961,9.61306e-05,0,1.67777
205.5,9.56224,5.74726e-05,0.000671262,9.802e-05,0,1.70128
207,9.55966,5.71567e-05,0.000687876,9.99354e-05,0,1.72499
208.5,9.55708,5.68445e-05,0.000704808,0.000101877,0,1.74889
210,9.55451,5.65362e-05,0.000722059,0.000103844,0,1.77299
211.5,9.55196,5.62315e-05,0.00073963,0.000105836,0,1.79727
213,9.54942,5.59304e-05,0.000757525,0.000107854,0,1.82174
214.5,9.54689,5.56328e-05,0.000775746,0.000109898,0,1.84637
216,9.54437,5.53387e-05,0.000794293,0.000111966,0,1.87118
217.5,9.54187,5.50479e-05,0.000813171,0.000114059,0,1.89615
219,9.53937,5.47604e-05,0.000832379,0.000116178,0,1.92127
220.5,9.53688,5.44761e-05,0.000851922,0.00011832,0,1.94655
222,9.53441,5.41949e-05,0.000871799,0.000120488,0,1.97197
223.5,9.53194,5.39169e-05,0.000892014,0.000122679,0,1.99754
225,9.52949,5.36419e-05,0.000912568,0.000124895,0,2.02325
226.5,9.52704,5.33698e-05,0.000933463,0.000127134,0,2.04908
228,9.52461,5.31007e-05,0.0009547,0.000129398,0,2.07504
229.5,9.52218,5.28344e-05,0.000976282,0.000131685,0,2.10113
231,9.51976,5.2571e-05,0.00099821,0.000133995,0,2.12733
232.5,9.51735,5.23103e-05,0.00102049,0.000136328,0,2.15364
234,9.51495,5.20523e-05,0.00104311,0.000138685,0,2.18006
235.5,9.51256,5.17969e-05,0.00106609,0.000141064,0,2.20658
237,9.51018,5.15442e-05,0.00108942,0.000143466,0,2.2332
238.5,9.50781,5.1294e-05,0.0011131,0.00014589,0,2.25991
240,9.50544,5.10463e-05,0.00113714,0.000148336,0,2.28671
241.5,9.50308,5.08011e-05,0.00116154,0.000150804,0,2.31359
243,9.50073,5.05583e-05,0.00118629,0.000153294,0,2.34055
244.5,9.49839,5.03179e-05,0.00121141,0.000155805,0,2.36758
246,9.49606,5.00798e-05,0.00123688,0.000158338,0,2.39468
247.5,9.49373,4.9844e-05,0.00126272,0.000160891,0,2.42184
249,9.49141,4.96105e-05,0.00128892,0.000163466,0,2.44906
250.5,9.4891,4.93792e-05,0.00131549,0.00016606,0,2.47634
252,9.48679,4.915e-05,0.00134243,0.000168675,0,2.50366
