Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,7,0,1.38772e-05,5.30924e-09,7.39e-07,0
1.5,7.15299,6.40856e-07,1.55908e-05,8.97119e-09,7.12574e-07,1.73625e-06
3,7.32454,1.26277e-06,1.8095e-05,1.61716e-08,6.9215e-07,6.16706e-06
4.5,7.5216,1.87029e-06,2.13893e-05,3.11694e-08,6.76767e-07,1.76051e-05
6,7.73837,2.46776e-06,2.54985e-05,6.27093e-08,6.66225e-07,4.67342e-05
7.5,7.94488,3.0591e-06,3.04379e-05,1.22067e-07,6.6003e-07,0.00011277
9,8.11514,3.64683e-06,3.6213e-05,2.16257e-07,6.56671e-07,0.000238169
10.5,8.24885,4.23221e-06,4.28229e-05,3.4874e-07,6.54726e-07,0.000445728
12,8.35521,4.8158e-06,5.02638e-05,5.2316e-07,6.53431e-07,0.000760858
13.5,8.44219,5.39782e-06,5.85305e-05,7.43871e-07,6.52423e-07,0.0012126
15,8.51519,5.97833e-06,6.76168e-05,1.01555e-06,6.51521e-07,0.0018335
16.5,8.57782,6.55728e-06,7.75165e-05,1.34292e-06,6.50618e-07,0.00265935
18,8.6325,7.13455e-06,8.82233e-05,1.73064e-06,6.49643e-07,0.00372884
19.5,8.68091,7.70996e-06,9.97307e-05,2.18319e-06,6.48542e-07,0.00508329
21,8.72426,8.28331e-06,0.000112032,2.7049e-06,6.4727e-07,0.00676635
22.5,8.76345,8.85432e-06,0.000125121,3.29985e-06,6.45785e-07,0.00882368
24,8.79915,9.42271e-06,0.000138992,3.97193e-06,6.44051e-07,0.0113026
25.5,8.83189,9.98813e-06,0.000153636,4.72478e-06,6.42028e-07,0.0142517
27,8.86207,1.05502e-05,0.000169049,5.56179e-06,6.39683e-07,0.0177205
28.5,8.89002,1.11086e-05,0.000185224,6.48607e-06,6.36978e-07,0.0217591
30,8.91601,1.16628e-05,0.000202153,7.50048e-06,6.3388e-07,0.0264175
31.5,8.94026,1.22124e-05,0.000219831,8.60757e-06,6.30354e-07,0.0317455
33,8.96294,1.27569e-05,0.000238251,9.80963e-06,6.26368e-07,0.0377918
34.5,8.98421,1.32958e-05,0.000257407,1.11086e-05,6.21889e-07,0.0446041
36,9.0042,1.38286e-05,0.000277292,1.25062e-05,6.16887e-07,0.0522278
37.5,9.02301,1.43547e-05,0.000297899,1.40036e-05,6.11334e-07,0.0607064
39,9.04074,1.48735e-05,0.000319223,1.5602e-05,6.05201e-07,0.0700802
40.5,9.05747,1.53846e-05,0.000341256,1.7302e-05,5.98466e-07,0.0803862
42,9.07327,1.58872e-05,0.000363993,1.91038e-05,5.91105e-07,0.0916577
43.5,9.0882,1.63808e-05,0.000387426,2.10076e-05,5.83101e-07,0.103923
45,9.10231,1.68648e-05,0.00041155,2.30129e-05,5.74436e-07,0.117207
46.5,9.11566,1.73386e-05,0.000436358,2.5119e-05,5.65099e-07,0.131527
48,9.12827,1.78016e-05,0.000461844,2.73248e-05,5.55082e-07,0.146898
49.5,9.1402,1.8253e-05,0.000488002,2.96289e-05,5.44378e-07,0.163325
51,9.15148,1.86925e-05,0.000514825,3.20297e-05,5.32989e-07,0.180809
52.5,9.16213,1.91193e-05,0.000542307,3.45249e-05,5.20917e-07,0.199344
54,9.17218,1.95328e-05,0.000570443,3.71121e-05,5.08171e-07,0.218918
55.5,9.18165,1.99326e-05,0.000599225,3.97886e-05,4.94764e-07,0.23951
57,9.19057,2.03181e-05,0.000628648,4.25514e-05,4.80713e-07,0.261095
58.5,9.19897,2.06888e-05,0.000658706,4.5397e-05,4.66039e-07,0.283637
60,9.20684,2.10443e-05,0.000689392,4.83219e-05,4.50769e-07,0.307098
61.5,9.21423,2.1384e-05,0.000720702,5.13221e-05,4.34933e-07,0.331431
63,9.22113,2.17075e-05,0.000752629,5.43936e-05,4.18567e-07,0.356581
64.5,9.22757,2.20146e-05,0.000785168,5.75318e-05,4.01708e-07,0.382488
66,9.23356,2.23048e-05,0.000818313,6.07323e-05,3.844e-07,0.409088
67.5,9.23911,2.25778e-05,0.000852057,6.39901e-05,3.66688e-07,0.43631
69,9.24424,2.28335e-05,0.000886397,6.73004e-05,3.48622e-07,0.464077
70.5,9.24895,2.30715e-05,0.000921326,7.0658e-05,3.30254e-07,0.492309
72,9.25326,2.32919e-05,0.000956838,7.40577e-05,3.11637e-07,0.520924
73.5,9.25718,2.34944e-05,0.00099293,7.74942e-05,2.92828e-07,0.549836
75,9.26072,2.36789e-05,0.00102959,8.09621e-05,2.73885e-07,0.578955
