Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,9,0,1.38772e-05,6.20114e-07,6.5089e-07,0
1.5,9.02227,5.8528e-07,1.44623e-05,6.78747e-07,6.50767e-07,0.00011997
3,9.04335,1.16994e-06,1.50467e-05,7.39633e-07,6.50635e-07,0.000261324
4.5,9.06334,1.75396e-06,1.56304e-05,8.0273e-07,6.50493e-07,0.000425197
6,9.08235,2.33735e-06,1.62133e-05,8.68002e-07,6.50338e-07,0.000612694
7.5,9.10047,2.92008e-06,1.67954e-05,9.35408e-07,6.50169e-07,0.00082489
9,9.11778,3.50214e-06,1.73767e-05,1.00491e-06,6.49987e-07,0.00106283
10.5,9.13433,4.08353e-06,1.79572e-05,1.07648e-06,6.49789e-07,0.00132752
12,9.15019,4.66423e-06,1.85369e-05,1.15006e-06,6.49576e-07,0.00161995
13.5,9.16541,5.24423e-06,1.91158e-05,1.22564e-06,6.49345e-07,0.00194108
15,9.18005,5.8235e-06,1.96938e-05,1.30316e-06,6.49097e-07,0.00229183
16.5,9.19413,6.40204e-06,2.0271e-05,1.3826e-06,6.4883e-07,0.00267311
18,9.20769,6.97983e-06,2.08473e-05,1.46392e-06,6.48544e-07,0.00308577
19.5,9.22078,7.55685e-06,2.14228e-05,1.54709e-06,6.48238e-07,0.00353067
21,9.23342,8.13308e-06,2.19973e-05,1.63207e-06,6.47912e-07,0.00400862
22.5,9.24564,8.70851e-06,2.25709e-05,1.71883e-06,6.47565e-07,0.0045204
24,9.25746,9.28312e-06,2.31435e-05,1.80733e-06,6.47196e-07,0.00506678
25.5,9.26891,9.85689e-06,2.37152e-05,1.89754e-06,6.46805e-07,0.00564848
27,9.28001,1.04298e-05,2.42859e-05,1.98943e-06,6.46391e-07,0.00626622
28.5,9.29077,1.10018e-05,2.48557e-05,2.08297e-06,6.45954e-07,0.00692067
30,9.30122,1.1573e-05,2.54244e-05,2.17812e-06,6.45493e-07,0.00761249
31.5,9.31137,1.21432e-05,2.5992e-05,2.27485e-06,6.45008e-07,0.00834229
33,9.32123,1.27124e-05,2.65587e-05,2.37313e-06,6.44499e-07,0.00911068
34.5,9.33083,1.32807e-05,2.71242e-05,2.47293e-06,6.43965e-07,0.00991824
36,9.34017,1.38481e-05,2.76886e-05,2.57422e-06,6.43405e-07,0.0107655
37.5,9.34926,1.44144e-05,2.8252e-05,2.67696e-06,6.42819e-07,0.011653
39,9.35812,1.49797e-05,2.88141e-05,2.78112e-06,6.42207e-07,0.0125812
40.5,9.36676,1.55439e-05,2.93752e-05,2.88668e-06,6.41569e-07,0.0135506
42,9.37519,1.61071e-05,2.9935e-05,2.9936e-06,6.40905e-07,0.0145617
43.5,9.38341,1.66691e-05,3.04936e-05,3.10186e-06,6.40213e-07,0.0156148
45,9.39143,1.72301e-05,3.1051e-05,3.21142e-06,6.39494e-07,0.0167103
46.5,9.39927,1.77899e-05,3.16072e-05,3.32225e-06,6.38747e-07,0.0178487
48,9.40692,1.83485e-05,3.2162e-05,3.43433e-06,6.37972e-07,0.0190302
49.5,9.41441,1.8906e-05,3.27156e-05,3.54762e-06,6.3717e-07,0.0202552
51,9.42172,1.94622e-05,3.32679e-05,3.66209e-06,6.36339e-07,0.0215239
52.5,9.42888,2.00172e-05,3.38188e-05,3.77772e-06,6.3548e-07,0.0228367
54,9.43588,2.05709e-05,3.43683e-05,3.89448e-06,6.34592e-07,0.0241938
55.5,9.44273,2.11234e-05,3.49164e-05,4.01234e-06,6.33676e-07,0.0255954
57,9.44944,2.16745e-05,3.54631e-05,4.13126e-06,6.32731e-07,0.0270416
58.5,9.45601,2.22243e-05,3.60084e-05,4.25123e-06,6.31756e-07,0.0285327
60,9.46245,2.27728e-05,3.65522e-05,4.37221e-06,6.30753e-07,0.0300689
61.5,9.46876,2.33198e-05,3.70946e-05,4.49417e-06,6.2972e-07,0.0316501
63,9.47494,2.38655e-05,3.76354e-05,4.6171e-06,6.28658e-07,0.0332766
64.5,9.481,2.44097e-05,3.81746e-05,4.74095e-06,6.27567e-07,0.0349484
66,9.48695,2.49524e-05,3.87124e-05,4.8657e-06,6.26447e-07,0.0366655
67.5,9.49278,2.54937e-05,3.92485e-05,4.99132e-06,6.25297e-07,0.0384281
69,9.4985,2.60334e-05,3.9783e-05,5.1178e-06,6.24118e-07,0.040236
70.5,9.50411,2.65717e-05,4.03159e-05,5.24509e-06,6.22909e-07,0.0420893
72,9.50962,2.71083e-05,4.08471e-05,5.37317e-06,6.21671e-07,0.043988
73.5,9.51503,2.76434e-05,4.13766e-05,5.50203e-06,6.20404e-07,0.0459319
75,9.52035,2.81769e-05,4.19045e-05,5.63162e-06,6.19107e-07,0.047921
