Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,8,0,1.38772e-05,6.33367e-08,6.589e-07,0
1.5,8.16618,5.90039e-07,1.44671e-05,9.728e-08,6.56059e-07,1.73342e-05
3,8.29349,1.17816e-06,1.5055e-05,1.35923e-07,6.54496e-07,4.83615e-05
4.5,8.39433,1.76491e-06,1.56413e-05,1.78119e-07,6.53528e-07,9.49368e-05
6,8.477,2.35056e-06,1.62265e-05,2.23336e-07,6.52864e-07,0.000158537
7.5,8.5467,2.93526e-06,1.68106e-05,2.71298e-07,6.52371e-07,0.000240488
9,8.60677,3.5191e-06,1.73937e-05,3.2184e-07,6.51978e-07,0.000342037
10.5,8.65946,4.10215e-06,1.79758e-05,3.74854e-07,6.51647e-07,0.00046438
12,8.70632,4.68443e-06,1.85571e-05,4.30256e-07,6.51353e-07,0.000608673
13.5,8.74847,5.26597e-06,1.91375e-05,4.87981e-07,6.51083e-07,0.000776034
15,8.78675,5.84678e-06,1.97171e-05,5.4797e-07,6.50824e-07,0.00096755
16.5,8.82177,6.42686e-06,2.02958e-05,6.10173e-07,6.5057e-07,0.00118427
18,8.85404,7.00622e-06,2.08737e-05,6.74544e-07,6.50316e-07,0.00142723
19.5,8.88394,7.58486e-06,2.14507e-05,7.41037e-07,6.50057e-07,0.00169741
21,8.91178,8.16276e-06,2.20269e-05,8.0961e-07,6.49791e-07,0.00199578
22.5,8.93782,8.73991e-06,2.26022e-05,8.80224e-07,6.49514e-07,0.00232327
24,8.96226,9.31632e-06,2.31767e-05,9.52838e-07,6.49226e-07,0.0026808
25.5,8.98529,9.89197e-06,2.37502e-05,1.02742e-06,6.48923e-07,0.00306923
27,9.00705,1.04668e-05,2.43229e-05,1.10392e-06,6.48604e-07,0.00348941
28.5,9.02767,1.10409e-05,2.48947e-05,1.18231e-06,6.48269e-07,0.00394217
30,9.04726,1.16142e-05,2.54655e-05,1.26255e-06,6.47916e-07,0.00442831
31.5,9.0659,1.21866e-05,2.60354e-05,1.34461e-06,6.47544e-07,0.00494859
33,9.08369,1.27583e-05,2.66044e-05,1.42845e-06,6.47153e-07,0.00550374
34.5,9.10068,1.3329e-05,2.71724e-05,1.51404e-06,6.4674e-07,0.00609449
36,9.11696,1.38989e-05,2.77394e-05,1.60135e-06,6.46306e-07,0.00672151
37.5,9.13257,1.44679e-05,2.83054e-05,1.69033e-06,6.4585e-07,0.00738547
39,9.14755,1.5036e-05,2.88703e-05,1.78096e-06,6.45372e-07,0.00808701
40.5,9.16196,1.56032e-05,2.94342e-05,1.87321e-06,6.4487e-07,0.00882672
42,9.17584,1.61694e-05,2.99971e-05,1.96704e-06,6.44345e-07,0.00960518
43.5,9.18922,1.67346e-05,3.05589e-05,2.06241e-06,6.43795e-07,0.010423
45,9.20212,1.72989e-05,3.11196e-05,2.15931e-06,6.4322e-07,0.0112806
46.5,9.21459,1.78621e-05,3.16791e-05,2.25768e-06,6.4262e-07,0.0121785
48,9.22665,1.84243e-05,3.22375e-05,2.35752e-06,6.41995e-07,0.0131173
49.5,9.23832,1.89854e-05,3.27948e-05,2.45877e-06,6.41344e-07,0.0140974
51,9.24963,1.95455e-05,3.33508e-05,2.56142e-06,6.40666e-07,0.0151191
52.5,9.26059,2.01044e-05,3.39057e-05,2.66543e-06,6.39962e-07,0.016183
54,9.27122,2.06623e-05,3.44593e-05,2.77076e-06,6.3923e-07,0.0172893
55.5,9.28154,2.12189e-05,3.50116e-05,2.8774e-06,6.38472e-07,0.0184385
57,9.29157,2.17745e-05,3.55627e-05,2.98531e-06,6.37686e-07,0.0196308
58.5,9.30132,2.23288e-05,3.61125e-05,3.09446e-06,6.36872e-07,0.0208665
60,9.31081,2.28819e-05,3.66609e-05,3.20482e-06,6.36031e-07,0.022146
61.5,9.32004,2.34337e-05,3.7208e-05,3.31636e-06,6.35161e-07,0.0234695
63,9.32903,2.39843e-05,3.77538e-05,3.42905e-06,6.34263e-07,0.0248371
64.5,9.33778,2.45336e-05,3.82981e-05,3.54287e-06,6.33336e-07,0.0262492
66,9.34632,2.50816e-05,3.8841e-05,3.65778e-06,6.32381e-07,0.0277059
67.5,9.35465,2.56282e-05,3.93825e-05,3.77375e-06,6.31397e-07,0.0292073
69,9.36277,2.61735e-05,3.99225e-05,3.89076e-06,6.30384e-07,0.0307536
70.5,9.3707,2.67174e-05,4.0461e-05,4.00878e-06,6.29343e-07,0.0323449
72,9.37845,2.72599e-05,4.0998e-05,4.12777e-06,6.28272e-07,0.0339813
73.5,9.38601,2.78009e-05,4.15335e-05,4.24772e-06,6.27172e-07,0.0356628
75,9.39341,2.83405e-05,4.20674e-05,4.3686e-06,6.26043e-07,0.0373895
76.5,9.40064,2.88786e-05,4.25997e-05,4.49036e-06,6.24885e-07,0.0391613
78,9.40771,2.94151e-05,4.31304e-05,4.613e-06,6.23698e-07,0.0409784
79.5,9.41463,2.99502e-05,4.36595e-05,4.73648e-06,6.22482e-07,0.0428406
81,9.42139,3.04837e-05,4.41869e-05,4.86077e-06,6.21236e-07,0.0447479
82.5,9.42802,3.10156e-05,4.47127e-05,4.98585e-06,6.19961e-07,0.0467003
84,9.43451,3.15459e-05,4.52367e-05,5.1117e-06,6.18658e-07,0.0486976
85.5,9.44086,3.20745e-05,4.5759e-05,5.23827e-06,6.17325e-07,0.0507397
87,9.44709,3.26015e-05,4.62796e-05,5.36555e-06,6.15964e-07,0.0528266
88.5,9.45319,3.31268e-05,4.67984e-05,5.49351e-06,6.14574e-07,0.0549579
90,9.45918,3.36504e-05,4.73153e-05,5.62213e-06,6.13155e-07,0.0571336
91.5,9.46504,3.41723e-05,4.78305e-05,5.75138e-06,6.11707e-07,0.0593535
93,9.47079,3.46924e-05,4.83438e-05,5.88123e-06,6.10231e-07,0.0616174
94.5,9.47643,3.52108e-05,4.88552e-05,6.01166e-06,6.08727e-07,0.0639249
96,9.48197,3.57273e-05,4.93648e-05,6.14264e-06,6.07195e-07,0.0662759
97.5,9.4874,3.62421e-05,4.98724e-05,6.27414e-06,6.05634e-07,0.0686701
99,9.49274,3.67549e-05,5.03781e-05,6.40615e-06,6.04046e-07,0.0711072
100.5,9.49797,3.72659e-05,5.08819e-05,6.53864e-06,6.02431e-07,0.0735868
102,9.50311,3.77751e-05,5.13836e-05,6.67158e-06,6.00788e-07,0.0761087
103.5,9.50816,3.82823e-05,5.18834e-05,6.80495e-06,5.99117e-07,0.0786725
105,9.51312,3.87875e-05,5.23811e-05,6.93873e-06,5.9742e-07,0.0812778
106.5,9.51799,3.92908e-05,5.28768e-05,7.07288e-06,5.95697e-07,0.0839243
108,9.52278,3.97922e-05,5.33705e-05,7.20739e-06,5.93946e-07,0.0866115
109.5,9.52748,4.02915e-05,5.3862e-05,7.34224e-06,5.9217e-07,0.0893391
111,9.5321,4.07888e-05,5.43514e-05,7.47739e-06,5.90368e-07,0.0921066
112.5,9.53665,4.1284e-05,5.48387e-05,7.61283e-06,5.8854e-07,0.0949136
114,9.54112,4.17772e-05,5.53239e-05,7.74854e-06,5.86687e-07,0.0977596
115.5,9.54551,4.22683e-05,5.58069e-05,7.88448e-06,5.84809e-07,0.100644
117,9.54983,4.27573e-05,5.62877e-05,8.02065e-06,5.82907e-07,0.103567
118.5,9.55408,4.32442e-05,5.67663e-05,8.15701e-06,5.8098e-07,0.106527
120,9.55827,4.37289e-05,5.72427e-05,8.29355e-06,5.79029e-07,0.109524
121.5,9.56238,4.42115e-05,5.77168e-05,8.43024e-06,5.77054e-07,0.112558
123,9.56643,4.46919e-05,5.81887e-05,8.56706e-06,5.75056e-07,0.115627
124.5,9.57041,4.51701e-05,5.86583e-05,8.70399e-06,5.73035e-07,0.118732
126,9.57433,4.5646e-05,5.91256e-05,8.84101e-06,5.70991e-07,0.121872
127.5,9.57819,4.61198e-05,5.95905e-05,8.9781e-06,5.68925e-07,0.125047
129,9.58198,4.65912e-05,6.00532e-05,9.11524e-06,5.66838e-07,0.128255
130.5,9.58572,4.70604e-05,6.05135e-05,9.25241e-06,5.64729e-07,0.131496
132,9.5894,4.75274e-05,6.09714e-05,9.38958e-06,5.62598e-07,0.134769
133.5,9.59302,4.7992e-05,6.1427e-05,9.52674e-06,5.60447e-07,0.138074
135,9.59659,4.84543e-05,6.18802e-05,9.66387e-06,5.58276e-07,0.141411
136.5,9.60011,4.89142e-05,6.2331e-05,9.80095e-06,5.56085e-07,0.144778
138,9.60357,4.93718e-05,6.27793e-05,9.93796e-06,5.53875e-07,0.148176
139.5,9.60698,4.9827e-05,6.32252e-05,1.00749e-05,5.51645e-07,0.151602
141,9.61033,5.02799e-05,6.36687e-05,1.02117e-05,5.49397e-07,0.155057
142.5,9.61364,5.07304e-05,6.41097e-05,1.03484e-05,5.47131e-07,0.158541
144,9.6169,5.11784e-05,6.45482e-05,1.04849e-05,5.44847e-07,0.162051
