Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,8,0,1.38772e-05,6.33367e-08,6.589e-07,0
1.5,8.16618,5.90027e-07,1.554e-05,1.04494e-07,6.56058e-07,1.86193e-05
3,8.29348,1.17811e-06,1.80104e-05,1.62602e-07,6.5449e-07,5.78515e-05
4.5,8.39431,1.76477e-06,2.12839e-05,2.42363e-07,6.53505e-07,0.000129168
6,8.47696,2.35024e-06,2.5381e-05,3.49304e-07,6.52806e-07,0.000247923
7.5,8.54663,2.93463e-06,3.03135e-05,4.89138e-07,6.52245e-07,0.000433496
9,8.60666,3.51795e-06,3.60842e-05,6.67509e-07,6.51739e-07,0.000709164
10.5,8.65929,4.10017e-06,4.2691e-05,8.89906e-07,6.51232e-07,0.00110191
12,8.70608,4.68121e-06,5.01294e-05,1.16163e-06,6.50681e-07,0.0016422
13.5,8.74813,5.26094e-06,5.83938e-05,1.4878e-06,6.50049e-07,0.00236378
15,8.78627,5.83922e-06,6.74779e-05,1.87331e-06,6.49304e-07,0.00330343
16.5,8.82114,6.41584e-06,7.73753e-05,2.32289e-06,6.48412e-07,0.00450072
18,8.8532,6.99059e-06,8.80796e-05,2.84101e-06,6.47342e-07,0.00599772
19.5,8.88286,7.5632e-06,9.95843e-05,3.43196e-06,6.46061e-07,0.00783876
21,8.91041,8.13337e-06,0.000111883,4.09979e-06,6.44537e-07,0.0100701
22.5,8.93611,8.70079e-06,0.000124968,4.84831e-06,6.42737e-07,0.0127394
24,8.96015,9.26509e-06,0.000138834,5.6811e-06,6.40628e-07,0.0158958
25.5,8.98272,9.82588e-06,0.000153475,6.60149e-06,6.38175e-07,0.0195891
27,9.00394,1.03828e-05,0.000168882,7.61253e-06,6.35346e-07,0.0238694
28.5,9.02396,1.09353e-05,0.000185051,8.71702e-06,6.32106e-07,0.0287871
30,9.04286,1.14829e-05,0.000201974,9.91746e-06,6.28424e-07,0.0343917
31.5,9.06073,1.20253e-05,0.000219645,1.12161e-05,6.24266e-07,0.0407321
33,9.07766,1.25618e-05,0.000238057,1.26148e-05,6.19603e-07,0.0478554
34.5,9.09371,1.30919e-05,0.000257204,1.41152e-05,6.14403e-07,0.0558072
