Time,pH,mCa,mTIC,mCO3,rdiss,Omega
0,7,0,1.38772e-05,5.30924e-09,7.39e-07,0
1.5,7.15299,6.40868e-07,1.45179e-05,8.35389e-09,7.12574e-07,1.6168e-06
3,7.32456,1.26282e-06,1.51396e-05,1.35307e-08,6.9215e-07,5.16014e-06
4.5,7.52164,1.87039e-06,1.57468e-05,2.29489e-08,6.76768e-07,1.29627e-05
6,7.73845,2.46797e-06,1.63438e-05,4.02023e-08,6.66233e-07,2.99634e-05
7.5,7.94501,3.05949e-06,1.69347e-05,6.79346e-08,6.6006e-07,6.27682e-05
9,8.11531,3.64751e-06,1.75219e-05,1.0468e-07,6.56749e-07,0.000115309
10.5,8.24908,4.23337e-06,1.81069e-05,1.47538e-07,6.54892e-07,0.000188622
12,8.35552,4.81768e-06,1.86902e-05,1.94671e-07,6.5374e-07,0.00028323
13.5,8.44259,5.40079e-06,1.92721e-05,2.45159e-07,6.52951e-07,0.000399857
15,8.51572,5.98287e-06,1.98529e-05,2.98534e-07,6.52362e-07,0.00053939
16.5,8.5785,6.56402e-06,2.04327e-05,3.54531e-07,6.51891e-07,0.000702789
18,8.63337,7.14432e-06,2.10115e-05,4.12987e-07,6.51489e-07,0.000891041
19.5,8.68201,7.7238e-06,2.15893e-05,4.73787e-07,6.51131e-07,0.00110513
21,8.72564,8.30248e-06,2.21663e-05,5.36845e-07,6.50797e-07,0.00134604
22.5,8.76516,8.88039e-06,2.27423e-05,6.02093e-07,6.50476e-07,0.00161472
24,8.80125,9.45752e-06,2.33174e-05,6.69473e-07,6.50161e-07,0.0019121
25.5,8.83443,1.00339e-05,2.38917e-05,7.38931e-07,6.49845e-07,0.0022391
27,8.86513,1.06094e-05,2.4465e-05,8.10422e-07,6.49523e-07,0.00259659
28.5,8.89367,1.11842e-05,2.50375e-05,8.839e-07,6.49193e-07,0.00298545
30,8.92033,1.17582e-05,2.5609e-05,9.59325e-07,6.48851e-07,0.0034065
31.5,8.94532,1.23314e-05,2.61796e-05,1.03666e-06,6.48496e-07,0.00386054
33,8.96885,1.29038e-05,2.67493e-05,1.11585e-06,6.48126e-07,0.00434835
34.5,8.99106,1.34753e-05,2.7318e-05,1.19688e-06,6.47738e-07,0.00487069
36,9.01208,1.4046e-05,2.78858e-05,1.2797e-06,6.47333e-07,0.00542829
37.5,9.03203,1.46158e-05,2.84526e-05,1.36428e-06,6.46908e-07,0.00602183
39,9.05101,1.51848e-05,2.90184e-05,1.45059e-06,6.46462e-07,0.006652
40.5,9.0691,1.57528e-05,2.95832e-05,1.53858e-06,6.45996e-07,0.00731944
42,9.08638,1.632e-05,3.01469e-05,1.62822e-06,6.45508e-07,0.00802478
43.5,9.10292,1.68861e-05,3.07096e-05,1.71949e-06,6.44996e-07,0.0087686
45,9.11877,1.74514e-05,3.12713e-05,1.81234e-06,6.44462e-07,0.00955147
46.5,9.13398,1.80156e-05,3.18318e-05,1.90675e-06,6.43904e-07,0.0103739
48,9.1486,1.85789e-05,3.23913e-05,2.00268e-06,6.43321e-07,0.0112365
49.5,9.16266,1.91411e-05,3.29496e-05,2.1001e-06,6.42714e-07,0.0121397
51,9.17622,1.97023e-05,3.35067e-05,2.19898e-06,6.42081e-07,0.013084
52.5,9.1893,2.02625e-05,3.40627e-05,2.29929e-06,6.41422e-07,0.0140698
54,9.20193,2.08215e-05,3.46175e-05,2.40099e-06,6.40737e-07,0.0150975
55.5,9.21413,2.13795e-05,3.51711e-05,2.50406e-06,6.40026e-07,0.0161675
57,9.22594,2.19363e-05,3.57235e-05,2.60847e-06,6.39288e-07,0.0172802
58.5,9.23738,2.2492e-05,3.62746e-05,2.71417e-06,6.38522e-07,0.0184359
60,9.24846,2.30464e-05,3.68244e-05,2.82115e-06,6.3773e-07,0.019635
61.5,9.25921,2.35997e-05,3.73729e-05,2.92937e-06,6.36909e-07,0.0208777
63,9.26964,2.41518e-05,3.792e-05,3.03881e-06,6.36061e-07,0.0221643
64.5,9.27977,2.47026e-05,3.84659e-05,3.14943e-06,6.35185e-07,0.023495
66,9.28961,2.52522e-05,3.90103e-05,3.26121e-06,6.3428e-07,0.0248701
67.5,9.29919,2.58004e-05,3.95534e-05,3.37411e-06,6.33347e-07,0.0262897
69,9.30851,2.63473e-05,4.0095e-05,3.48811e-06,6.32385e-07,0.0277541
